,main_category,unit_type,sub_category,max_range,min_range
Coffee Makers_piece_Serving Capacity,Coffee Makers,piece,Serving Capacity,16500.0,15900.0
Coffee Makers_piece_Type,Coffee Makers,piece,Type,139985.0,70999.0
Coffee Makers_piece_Usage/Application,Coffee Makers,piece,Usage/Application,16500.0,4500.0
Coffee Makers_unit_Capacity,Coffee Makers,unit,Capacity,7500.0,7000.0
Coffee Makers_unit_Material,Coffee Makers,unit,Material,7500.0,7000.0
Coffee Makers_unit_Usage/Application,Coffee Makers,unit,Usage/Application,7500.0,7000.0
Color Printers_box_Brand,Color Printers,box,Brand,45000.0,34999.0
Color Printers_box_Color,Color Printers,box,Color,45000.0,45000.0
Color Printers_box_Model Number,Color Printers,box,Model Number,45000.0,10800.0
Color Printers_box_Output Type,Color Printers,box,Output Type,45000.0,10800.0
Color Printers_box_Paper Size,Color Printers,box,Paper Size,45000.0,10800.0
Color Printers_box_Printer Type,Color Printers,box,Printer Type,45000.0,45000.0
Color Printers_number_Brand,Color Printers,number,Brand,45000.0,19500.0
Color Printers_number_Paper Size,Color Printers,number,Paper Size,90000.0,90000.0
Color Printers_number_Printer Type,Color Printers,number,Printer Type,90000.0,19500.0
Color Printers_number_Usage/Application,Color Printers,number,Usage/Application,90000.0,90000.0
Color Printers_ounce_Brand,Color Printers,ounce,Brand,118000.0,118000.0
Color Printers_piece_Brand,Color Printers,piece,Brand,118000.0,3000.0
Color Printers_piece_Color,Color Printers,piece,Color,60000.0,10000.0
Color Printers_piece_Color Output,Color Printers,piece,Color Output,30000.0,30000.0
Color Printers_piece_Dimensions,Color Printers,piece,Dimensions,188800.0,188800.0
Color Printers_piece_Functions,Color Printers,piece,Functions,550000.0,550000.0
Color Printers_piece_Item Color,Color Printers,piece,Item Color,550000.0,131000.0
Color Printers_piece_Model Number,Color Printers,piece,Model Number,55000.0,2907.0
Color Printers_piece_Output Type,Color Printers,piece,Output Type,60000.0,10000.0
Color Printers_piece_Paper Size,Color Printers,piece,Paper Size,69000.0,10000.0
Color Printers_piece_Print Speed,Color Printers,piece,Print Speed,40000.0,35850.0
Color Printers_piece_Print Speed (ppm),Color Printers,piece,Print Speed (ppm),270000.0,2907.0
Color Printers_piece_Print Technology,Color Printers,piece,Print Technology,30000.0,9550.0
Color Printers_piece_Printer Type,Color Printers,piece,Printer Type,69000.0,2050.0
Color Printers_piece_Printing Technology,Color Printers,piece,Printing Technology,28800.0,28800.0
Color Printers_piece_Resolution,Color Printers,piece,Resolution,40000.0,40000.0
Color Printers_piece_Supported Paper Size,Color Printers,piece,Supported Paper Size,550000.0,550000.0
Color Printers_piece_Usage/Application,Color Printers,piece,Usage/Application,60000.0,10000.0
Color Printers_piece_Zoom,Color Printers,piece,Zoom,163392.0,163392.0
Color Printers_set_Model Number,Color Printers,set,Model Number,186000.0,100000.0
Color Printers_set_Output Type,Color Printers,set,Output Type,100000.0,100000.0
Color Printers_set_Print Speed (ppm),Color Printers,set,Print Speed (ppm),186000.0,186000.0
Color Printers_set_Printer Type,Color Printers,set,Printer Type,100000.0,100000.0
Color Printers_unit_Age Group,Color Printers,unit,Age Group,13500.0,13500.0
Color Printers_unit_Availability,Color Printers,unit,Availability,13500.0,13500.0
Color Printers_unit_Brand,Color Printers,unit,Brand,145000.0,10800.0
Color Printers_unit_Color,Color Printers,unit,Color,121000.0,43000.0
Color Printers_unit_Color Output,Color Printers,unit,Color Output,48000.0,43000.0
Color Printers_unit_Design,Color Printers,unit,Design,13500.0,13500.0
Color Printers_unit_Item Color,Color Printers,unit,Item Color,13500.0,13500.0
Color Printers_unit_Manufacturer,Color Printers,unit,Manufacturer,13500.0,13500.0
Color Printers_unit_Max Print Resolution,Color Printers,unit,Max Print Resolution,160000.0,160000.0
Color Printers_unit_Model Number,Color Printers,unit,Model Number,160000.0,43000.0
Color Printers_unit_Neck,Color Printers,unit,Neck,13500.0,13500.0
Color Printers_unit_Paper Size,Color Printers,unit,Paper Size,265000.0,160000.0
Color Printers_unit_Print Speed,Color Printers,unit,Print Speed,43000.0,43000.0
Color Printers_unit_Print Speed (ppm),Color Printers,unit,Print Speed (ppm),317000.0,250000.0
Color Printers_unit_Print Technology,Color Printers,unit,Print Technology,43000.0,13500.0
Color Printers_unit_Printer Type,Color Printers,unit,Printer Type,121000.0,7500.0
Color Printers_unit_Product Details,Color Printers,unit,Product Details,13500.0,13500.0
Color Printers_unit_Product Type,Color Printers,unit,Product Type,13500.0,13500.0
Color Printers_unit_Size,Color Printers,unit,Size,13500.0,13500.0
Color Printers_unit_Sleeve Type,Color Printers,unit,Sleeve Type,13500.0,13500.0
Color Printers_unit_Usage/Application,Color Printers,unit,Usage/Application,265000.0,43000.0
Colored Contact Lenses_box_Brand,Colored Contact Lenses,box,Brand,2600.0,2600.0
Colored Contact Lenses_box_Color,Colored Contact Lenses,box,Color,2600.0,2600.0
Colored Contact Lenses_box_Packaging Type,Colored Contact Lenses,box,Packaging Type,2600.0,2600.0
Colored Contact Lenses_box_Type,Colored Contact Lenses,box,Type,2600.0,2600.0
Colored Contact Lenses_pair_Brand,Colored Contact Lenses,pair,Brand,750.0,199.0
Colored Contact Lenses_pair_Color,Colored Contact Lenses,pair,Color,199.0,199.0
Colored Contact Lenses_pair_Material,Colored Contact Lenses,pair,Material,750.0,750.0
Colored Contact Lenses_pair_Packaging Type,Colored Contact Lenses,pair,Packaging Type,750.0,750.0
Colored Contact Lenses_pair_Type,Colored Contact Lenses,pair,Type,199.0,199.0
Colored Contact Lenses_piece_Brand,Colored Contact Lenses,piece,Brand,250.0,250.0
Colored Contact Lenses_piece_Color,Colored Contact Lenses,piece,Color,250.0,250.0
Colored Contact Lenses_piece_Type,Colored Contact Lenses,piece,Type,250.0,250.0
Compressor Oil_20 container_Compressor Brand,Compressor Oil,20 container,Compressor Brand,3400.0,3400.0
Compressor Oil_20 container_Compressor Type,Compressor Oil,20 container,Compressor Type,3400.0,3400.0
Compressor Oil_20 container_Packaging Type,Compressor Oil,20 container,Packaging Type,3400.0,3400.0
Compressor Oil_20 container_Usage/Application,Compressor Oil,20 container,Usage/Application,3400.0,3400.0
Compressor Oil_barrel_Brand,Compressor Oil,barrel,Brand,65000.0,65000.0
Compressor Oil_barrel_Compressor Type,Compressor Oil,barrel,Compressor Type,65000.0,29400.0
Compressor Oil_barrel_Grade,Compressor Oil,barrel,Grade,29400.0,29400.0
Compressor Oil_barrel_Oil Brand,Compressor Oil,barrel,Oil Brand,29400.0,29400.0
Compressor Oil_barrel_Packaging Type,Compressor Oil,barrel,Packaging Type,65000.0,29400.0
Compressor Oil_barrel_Usage/Application,Compressor Oil,barrel,Usage/Application,29400.0,29400.0
Compressor Oil_litre_Brand,Compressor Oil,litre,Brand,133.0,100.0
Compressor Oil_litre_Compressor Brand,Compressor Oil,litre,Compressor Brand,350.0,350.0
Compressor Oil_litre_Compressor Type,Compressor Oil,litre,Compressor Type,200.0,1.0
Compressor Oil_litre_Condition,Compressor Oil,litre,Condition,295.0,295.0
Compressor Oil_litre_Grade,Compressor Oil,litre,Grade,190.0,78.0
Compressor Oil_litre_Model Number,Compressor Oil,litre,Model Number,100.0,100.0
Compressor Oil_litre_Model/Grade,Compressor Oil,litre,Model/Grade,100.0,100.0
Compressor Oil_litre_Oil Brand,Compressor Oil,litre,Oil Brand,450.0,100.0
Compressor Oil_litre_Packaging Type,Compressor Oil,litre,Packaging Type,745.0,1.0
Compressor Oil_litre_Unit Pack Size,Compressor Oil,litre,Unit Pack Size,350.0,350.0
Compressor Oil_litre_Usage/Application,Compressor Oil,litre,Usage/Application,190.0,1.0
Compressor Oil_piece_Compressor Brand,Compressor Oil,piece,Compressor Brand,5000.0,5000.0
Compressor Oil_piece_Compressor Technology,Compressor Oil,piece,Compressor Technology,300.0,300.0
Compressor Oil_piece_Compressor Type,Compressor Oil,piece,Compressor Type,15475.0,5000.0
Compressor Oil_piece_Discharge Pressure (in bar),Compressor Oil,piece,Discharge Pressure (in bar),300.0,300.0
Compressor Oil_piece_Oil Brand,Compressor Oil,piece,Oil Brand,5000.0,450.0
Compressor Oil_piece_Packaging Type,Compressor Oil,piece,Packaging Type,5000.0,3000.0
Conveyor Chains_feet_Brand,Conveyor Chains,feet,Brand,300.0,190.0
Conveyor Chains_feet_Material,Conveyor Chains,feet,Material,600.0,150.0
Conveyor Chains_feet_Roller Type,Conveyor Chains,feet,Roller Type,600.0,600.0
Conveyor Chains_feet_Thickness,Conveyor Chains,feet,Thickness,150.0,150.0
Conveyor Chains_feet_Usage/Application,Conveyor Chains,feet,Usage/Application,150.0,150.0
Conveyor Chains_foot_Brand,Conveyor Chains,foot,Brand,300.0,250.0
Conveyor Chains_foot_Condition,Conveyor Chains,foot,Condition,100.0,100.0
Conveyor Chains_foot_Material,Conveyor Chains,foot,Material,300.0,100.0
Conveyor Chains_foot_Roller Type,Conveyor Chains,foot,Roller Type,100.0,100.0
Conveyor Chains_meter_Belt Material,Conveyor Chains,meter,Belt Material,700.0,700.0
Conveyor Chains_meter_Belt Thickness,Conveyor Chains,meter,Belt Thickness,300.0,300.0
Conveyor Chains_meter_Belt Width,Conveyor Chains,meter,Belt Width,300.0,300.0
Conveyor Chains_meter_Brand,Conveyor Chains,meter,Brand,1700.0,500.0
Conveyor Chains_meter_Color,Conveyor Chains,meter,Color,520.0,520.0
Conveyor Chains_meter_Condition,Conveyor Chains,meter,Condition,1250.0,1250.0
Conveyor Chains_meter_Conveyor Type,Conveyor Chains,meter,Conveyor Type,700.0,700.0
Conveyor Chains_meter_Design,Conveyor Chains,meter,Design,4000.0,600.0
Conveyor Chains_meter_Finish,Conveyor Chains,meter,Finish,2000.0,600.0
Conveyor Chains_meter_Length of Chain,Conveyor Chains,meter,Length of Chain,100.0,100.0
Conveyor Chains_meter_Material,Conveyor Chains,meter,Material,2000.0,100.0
Conveyor Chains_meter_Material Handling Capacity,Conveyor Chains,meter,Material Handling Capacity,700.0,500.0
Conveyor Chains_meter_Packaging Type,Conveyor Chains,meter,Packaging Type,520.0,520.0
Conveyor Chains_meter_Power,Conveyor Chains,meter,Power,600.0,600.0
Conveyor Chains_meter_Roller Materials,Conveyor Chains,meter,Roller Materials,1250.0,980.0
Conveyor Chains_meter_Roller Type,Conveyor Chains,meter,Roller Type,3000.0,500.0
Conveyor Chains_meter_Size,Conveyor Chains,meter,Size,1250.0,600.0
Conveyor Chains_meter_Thickness,Conveyor Chains,meter,Thickness,520.0,500.0
Conveyor Chains_meter_Type,Conveyor Chains,meter,Type,2000.0,2000.0
Conveyor Chains_meter_Usage/Application,Conveyor Chains,meter,Usage/Application,2000.0,500.0
Conveyor Chains_meter_Usages,Conveyor Chains,meter,Usages,850.0,500.0
Conveyor Chains_number_Condition,Conveyor Chains,number,Condition,10000.0,10000.0
Conveyor Chains_number_Material,Conveyor Chains,number,Material,10000.0,10000.0
Conveyor Chains_packet_Finish,Conveyor Chains,packet,Finish,1500.0,1500.0
Conveyor Chains_packet_Material,Conveyor Chains,packet,Material,1500.0,1200.0
Conveyor Chains_packet_Packaging Type,Conveyor Chains,packet,Packaging Type,1200.0,1200.0
Conveyor Chains_packet_Usage/Application,Conveyor Chains,packet,Usage/Application,1500.0,1500.0
Conveyor Chains_piece_Brand,Conveyor Chains,piece,Brand,2000.0,100.0
Conveyor Chains_piece_Design,Conveyor Chains,piece,Design,1400.0,1400.0
Conveyor Chains_piece_Finish,Conveyor Chains,piece,Finish,3000.0,1400.0
Conveyor Chains_piece_Length of Chain,Conveyor Chains,piece,Length of Chain,4000.0,4000.0
Conveyor Chains_piece_Material,Conveyor Chains,piece,Material,9000.0,100.0
Conveyor Chains_piece_Power,Conveyor Chains,piece,Power,500000.0,500000.0
Conveyor Chains_piece_Roller Materials,Conveyor Chains,piece,Roller Materials,4000.0,4000.0
Conveyor Chains_piece_Roller Type,Conveyor Chains,piece,Roller Type,100.0,100.0
Conveyor Chains_piece_Size,Conveyor Chains,piece,Size,9000.0,1400.0
Conveyor Chains_piece_Usage/Application,Conveyor Chains,piece,Usage/Application,2000.0,450.0
Conveyor Chains_square feet_Roller Materials,Conveyor Chains,square feet,Roller Materials,87.0,87.0
Conveyor Chains_square feet_Roller Type,Conveyor Chains,square feet,Roller Type,87.0,87.0
Conveyor Chains_unit_Brand,Conveyor Chains,unit,Brand,600.0,100.0
Conveyor Chains_unit_Finish,Conveyor Chains,unit,Finish,600.0,600.0
Conveyor Chains_unit_Material,Conveyor Chains,unit,Material,10000.0,100.0
Conveyor Chains_unit_Packaging Type,Conveyor Chains,unit,Packaging Type,150000.0,150000.0
Conveyor Chains_unit_Roller Materials,Conveyor Chains,unit,Roller Materials,100.0,100.0
Conveyor Chains_unit_Thickness,Conveyor Chains,unit,Thickness,150000.0,150000.0
Conveyor Chains_unit_Usage/Application,Conveyor Chains,unit,Usage/Application,600.0,100.0
Copper Cables_box_Brand,Copper Cables,box,Brand,300.0,300.0
Copper Cables_box_Conductor Type,Copper Cables,box,Conductor Type,2433.0,2433.0
Copper Cables_box_Number Of Core,Copper Cables,box,Number Of Core,2433.0,2433.0
Copper Cables_bundle_Brand,Copper Cables,bundle,Brand,10000.0,23.0
Copper Cables_bundle_Conductor Type,Copper Cables,bundle,Conductor Type,23.0,23.0
Copper Cables_bundle_Crossectional Size,Copper Cables,bundle,Crossectional Size,23.0,23.0
Copper Cables_bundle_Number of Core,Copper Cables,bundle,Number of Core,23.0,23.0
Copper Cables_bundle_Power Voltage,Copper Cables,bundle,Power Voltage,23.0,23.0
Copper Cables_bundle_Power/Voltage,Copper Cables,bundle,Power/Voltage,6700.0,6700.0
Copper Cables_bundle_Rated Current,Copper Cables,bundle,Rated Current,23.0,23.0
Copper Cables_bundle_Size,Copper Cables,bundle,Size,10000.0,6700.0
Copper Cables_kilogram_Packaging Type,Copper Cables,kilogram,Packaging Type,550.0,550.0
Copper Cables_meter_Application,Copper Cables,meter,Application,59.0,59.0
Copper Cables_meter_Brand,Copper Cables,meter,Brand,300.0,2.0
Copper Cables_meter_Cable Shape,Copper Cables,meter,Cable Shape,90.0,35.0
Copper Cables_meter_Color,Copper Cables,meter,Color,8.0,6.0
Copper Cables_meter_Conductor Type,Copper Cables,meter,Conductor Type,40.0,2.0
Copper Cables_meter_Core Material,Copper Cables,meter,Core Material,90.0,35.0
Copper Cables_meter_Core Type,Copper Cables,meter,Core Type,44.0,35.0
Copper Cables_meter_Crossectional Size,Copper Cables,meter,Crossectional Size,10.0,10.0
Copper Cables_meter_Diameter,Copper Cables,meter,Diameter,27.0,15.0
Copper Cables_meter_Frequency,Copper Cables,meter,Frequency,59.0,59.0
Copper Cables_meter_Insulating Material,Copper Cables,meter,Insulating Material,35.0,35.0
Copper Cables_meter_Insulation Type,Copper Cables,meter,Insulation Type,220.75,220.75
Copper Cables_meter_Is It Armoured,Copper Cables,meter,Is It Armoured,260.0,50.0
Copper Cables_meter_Length,Copper Cables,meter,Length,59.0,6.0
Copper Cables_meter_Material,Copper Cables,meter,Material,300.0,17.0
Copper Cables_meter_No Of Cores X Size In Sqmm,Copper Cables,meter,No Of Cores X Size In Sqmm,228.0,59.0
Copper Cables_meter_Number Of Core,Copper Cables,meter,Number Of Core,105.0,90.0
Copper Cables_meter_Number Of Cores,Copper Cables,meter,Number Of Cores,300.0,2.0
Copper Cables_meter_Number of Core,Copper Cables,meter,Number of Core,59.0,6.0
Copper Cables_meter_Number of Cores,Copper Cables,meter,Number of Cores,82.0,44.0
Copper Cables_meter_Number of cores,Copper Cables,meter,Number of cores,44.0,44.0
Copper Cables_meter_Packaging Type,Copper Cables,meter,Packaging Type,2.0,2.0
Copper Cables_meter_Power/Voltage,Copper Cables,meter,Power/Voltage,59.0,50.0
Copper Cables_meter_Product Type,Copper Cables,meter,Product Type,59.0,59.0
Copper Cables_meter_Size,Copper Cables,meter,Size,100.0,8.0
Copper Cables_meter_Type,Copper Cables,meter,Type,35.0,35.0
Copper Cables_meter_Type Of Cable,Copper Cables,meter,Type Of Cable,90.0,90.0
Copper Cables_meter_Usage/Application,Copper Cables,meter,Usage/Application,15.0,10.0
Copper Cables_meter_Voltage,Copper Cables,meter,Voltage,8.0,8.0
Copper Cables_meter_Wire Gauge,Copper Cables,meter,Wire Gauge,27.0,27.0
Copper Cables_meter_Wire Size,Copper Cables,meter,Wire Size,7.0,7.0
Copper Cables_packet_Diameter,Copper Cables,packet,Diameter,710.0,710.0
Copper Cables_packet_Wire Gauge,Copper Cables,packet,Wire Gauge,710.0,710.0
Copper Cables_piece_Brand,Copper Cables,piece,Brand,26490.0,1610.0
Copper Cables_piece_Conductor Type,Copper Cables,piece,Conductor Type,550.0,550.0
Copper Cables_piece_Crossectional Size,Copper Cables,piece,Crossectional Size,140.0,140.0
Copper Cables_piece_Number of Core,Copper Cables,piece,Number of Core,10690.0,140.0
Copper Cables_piece_Size,Copper Cables,piece,Size,16970.0,4740.0
Copper Cables_piece_Usage/Application,Copper Cables,piece,Usage/Application,140.0,140.0
Copper Cables_roll_Brand,Copper Cables,roll,Brand,350.0,350.0
Copper Cables_roll_Size,Copper Cables,roll,Size,2656.0,2656.0
Copper Cables_unit_Brand,Copper Cables,unit,Brand,365.0,60.0
Copper Cables_unit_Color,Copper Cables,unit,Color,3820.0,3820.0
Copper Cables_unit_Conductor Type,Copper Cables,unit,Conductor Type,60.0,60.0
Copper Cables_unit_Crossectional Size,Copper Cables,unit,Crossectional Size,365.0,60.0
Copper Cables_unit_Insulating Material,Copper Cables,unit,Insulating Material,3820.0,3820.0
Copper Cables_unit_Material,Copper Cables,unit,Material,3820.0,3820.0
Copper Cables_unit_Number of Core,Copper Cables,unit,Number of Core,3820.0,3820.0
Copper Cables_unit_Part Number,Copper Cables,unit,Part Number,3820.0,3820.0
Copper Cables_unit_Rated Current,Copper Cables,unit,Rated Current,60.0,60.0
Copper Cables_unit_Wire Type,Copper Cables,unit,Wire Type,3820.0,3820.0
Copper Earthing Electrode_inch_Material,Copper Earthing Electrode,inch,Material,8.0,8.0
Copper Earthing Electrode_inch_Usage/Application,Copper Earthing Electrode,inch,Usage/Application,8.0,8.0
Copper Earthing Electrode_kilogram_Brand,Copper Earthing Electrode,kilogram,Brand,510.0,510.0
Copper Earthing Electrode_kilogram_Diameter,Copper Earthing Electrode,kilogram,Diameter,12000.0,12000.0
Copper Earthing Electrode_kilogram_Material,Copper Earthing Electrode,kilogram,Material,4501.0,510.0
Copper Earthing Electrode_kilogram_Usage/Application,Copper Earthing Electrode,kilogram,Usage/Application,12000.0,10000.0
Copper Earthing Electrode_meter_Brand,Copper Earthing Electrode,meter,Brand,2000.0,2000.0
Copper Earthing Electrode_meter_Diameter,Copper Earthing Electrode,meter,Diameter,600.0,600.0
Copper Earthing Electrode_meter_Material,Copper Earthing Electrode,meter,Material,600.0,450.0
Copper Earthing Electrode_meter_Shape,Copper Earthing Electrode,meter,Shape,2000.0,2000.0
Copper Earthing Electrode_meter_Type,Copper Earthing Electrode,meter,Type,600.0,600.0
Copper Earthing Electrode_number_Brand,Copper Earthing Electrode,number,Brand,5100.0,3700.0
Copper Earthing Electrode_number_Color,Copper Earthing Electrode,number,Color,500.0,10.0
